station_id,station_name,station_type,stop_mode,latitude,longitude
254,Ardeer,,V/Line Train,-37.783063,144.802193
255,Sunshine,Premium,Train,-37.788535,144.83288000000005
256,Tottenham,Host,Train,-37.799255,144.862948
257,West Footscray,Unmanned,Train,-37.801812,144.885327
258,Middle Footscray,Unmanned,Train,-37.8025009999999,144.891474
259,Footscray,Premium,Train,-37.801085,144.90319399999996
260,South Kensington,Unmanned,Train,-37.799533,144.925469
261,Flemington Racecourse,Unmanned,Train,-37.787199,144.907592
262,Showgrounds,Unmanned,Train,-37.783475,144.91425800000005
263,Craigieburn,,V/Line Train,-37.601925,144.943309
264,Broadmeadows,Premium,Train,-37.683051,144.919615
265,Jacana,Unmanned,Train,-37.695133,144.915855
266,Glenroy,Premium,Train,-37.704534,144.917219
267,Oak Park,Unmanned,Train,-37.717949,144.921515
268,Pascoe Vale,Unmanned,Train,-37.730754,144.928194
269,Strathmore,Unmanned,Train,-37.743593,144.92732
270,Glenbervie,Unmanned,Train,-37.747214,144.920944
271,Essendon,Premium,Train,-37.756008,144.916198
272,Moonee Ponds,Host,Train,-37.765704,144.919158
273,Ascot Vale,Unmanned,Train,-37.77531,144.921825
274,Newmarket,Unmanned,Train,-37.787326,144.928984
275,Kensington,Host,Train,-37.793777,144.930525
276,Box Hill,Premium,Train,-37.819219,145.121427
277,Southern Cross,Premium,V/Line Train,-37.818333,144.952524
278,Albury,,V/Line Train,-36.084263,146.924518
279,Ararat,,V/Line Train,-37.28220200000001,142.936912
280,Avenel,,V/Line Train,-36.893644,145.229517
281,Bacchus Marsh,,V/Line Train,-37.687582,144.43678799999995
282,Bairnsdale,,V/Line Train,-37.828717,147.627615
283,Ballan,,V/Line Train,-37.6043,144.22544299999996
284,Ballarat,,V/Line Train,-37.55879,143.859452
285,Beaufort,,V/Line Train,-37.427875,143.382233
286,Benalla,,V/Line Train,-36.544549,145.983914
287,Bendigo,,V/Line Train,-36.765673,144.283012
288,Birregurra,,V/Line Train,-38.328807,143.78361999999996
289,Broadford,,V/Line Train,-37.207202,145.043009
290,Bunyip,,V/Line Train,-38.09911,145.720762
291,Camperdown,,V/Line Train,-38.2289,143.150932
292,Castlemaine,,V/Line Train,-37.062836,144.213801
293,Chiltern,,V/Line Train,-36.155634,146.61138
294,Clarkefield,,V/Line Train,-37.483497,144.74536799999996
295,Colac,,V/Line Train,-38.343378,143.586658
296,Corio,,V/Line Train,-38.072835,144.37977
297,Dingee,,V/Line Train,-36.369235,144.23112
298,Donnybrook,,V/Line Train,-37.542592,144.969865
299,Drouin,,V/Line Train,-38.136453,145.855943
300,Eaglehawk,,V/Line Train,-36.718528000000006,144.248382
301,Echuca,,V/Line Train,-36.130985,144.75346299999995
302,Elmore,,V/Line Train,-36.495017,144.607753
303,Euroa,,V/Line Train,-36.749145,145.56786499999995
304,Garfield,,V/Line Train,-38.09103,145.67422
305,Geelong,,V/Line Train,-38.144241,144.35499199999995
306,Gisborne,,V/Line Train,-37.458825,144.598718
307,Heathcote Junction,,V/Line Train,-37.367732,145.026305
308,Kangaroo Flat,,V/Line Train,-36.794838,144.24899299999996
309,Kerang,,V/Line Train,-35.733123,143.92443
